roe,roa,debt_to_equity,current_ratio,operating_margin,net_margin,gross_margin,revenue_ttm,net_income,free_cash_flow,pe_ratio,market_cap,perf_1w,perf_1m,perf_3m,perf_6m,perf_ytd,perf_1y,ticker,nse_symbol,fetched_at
,,,,11.7438542322394,,,6200690866.0,,,,,5.043478260869558,8.992481203007513,-9.620300517488632,1.2219817051881852,-8.887492143306103,7.377777777777771,TECHM.NS,TECHM,2026-04-06
,,,,16.066483028175,,,1397068663.3400002,,,,,8.970133882595263,13.813355132948981,-14.724371373307543,0.5416191562143672,-15.823389021479713,11.378947368421052,PERSISTENT.NS,PERSISTENT,2026-04-06
,,,,19.9108745548406,,,2355661748.4,,,,,-0.10970464135020713,-5.303999999999997,-10.257771038665654,1.1709401709401748,-8.453209590100538,5.971351835273057,NESTLEIND.NS,NESTLEIND,2026-04-06
,,,,15.0430237456574,,,1456514004.2,,,,,-1.3413173652694665,-15.246913580246916,-20.39041360649401,-15.072164948453612,-18.43564356435644,-11.779824373527523,DABUR.NS,DABUR,2026-04-06
,,,,18.4641484929551,,,1680909215.8000002,,,,,0.6161616161616185,-12.036382903567649,-19.92765273311897,-12.622807017543858,-18.685714285714283,-14.82684908080376,GODREJCP.NS,GODREJCP,2026-04-06
,,,,15.9209717097171,,,1257965000.0,,,,,1.1907983761840264,-4.10361631187484,-3.6340206185567068,5.323943661971825,-0.9536423841059662,13.492183942935192,MARICO.NS,MARICO,2026-04-06
,,,,10.3043766179657,,,2054775243.6000001,,,,,-1.2803234501347667,-8.363863819140374,-13.247610185263508,-7.778776978417266,-13.968120805369127,-3.7495893753812983,TATACONSUM.NS,TATACONSUM,2026-04-06
,,,,14.7067189976776,,,18392743711.4,,,,,-0.040268456375832824,-10.141779788838608,-21.362196409714887,-14.891428571428568,-20.03221476510067,13.91422398133809,M&M.NS,M&M,2026-04-06
,,,,12.8939703536514,,,4782258680.400001,,,,,-0.4340962904498816,-9.42380183091007,-16.039933444259567,-10.085531004989308,-12.56281407035176,34.741451821786676,HEROMOTOCO.NS,HEROMOTOCO,2026-04-06
,,,,20.9096008698819,,,2197217838.6,,,,,-1.8720748829953198,-14.5933014354067,-12.104072398190045,-5.066839154808107,-9.73759737597376,23.42668124351751,EICHERMOT.NS,EICHERMOT,2026-04-06
,,,,17.2163819458369,,,5673422150.0,,,,,-7.28185812931577,-27.058126327226045,-21.37343625232899,4.900568181818166,-17.573525308331945,41.34647590793816,ASHOKLEY.NS,ASHOKLEY,2026-04-06
,,,,4.81038952717746,,,13256247938.0,,,,,0.8419083255378779,-14.67468735159095,-11.935299403643494,2.9608404966571102,-10.465116279069775,25.8367017121881,MOTHERSON.NS,MOTHERSON,2026-04-06
,,,,23.8737321791284,,,6102968634.200001,,,,,-6.531229012760244,-6.410759316335113,-3.2218809758359006,1.5258358662613927,-2.9011627906976796,-6.113500295134497,SUNPHARMA.NS,SUNPHARMA,2026-04-06
,,0.181896306322274,1.87953382603752,17.925518533619,,,3809410570.0,,,,,-5.090909090909098,-8.595355919299589,-3.952000000000007,-3.821196827685656,-5.464566929133865,4.236846674769922,DRREDDY.NS,DRREDDY,2026-04-06
,,,,15.3780710303762,,,3674770868.6000004,,,,,2.2461538461538497,8.514980814760385,9.85123966942149,21.777370590929916,11.697478991596642,12.93118096856415,AUROPHARMA.NS,AUROPHARMA,2026-04-06
,,,,23.2237242117742,,,2601136942.8,,,,,-3.631513273955514,-4.327210593763357,7.4918410443463195,15.884513892482008,5.946073793755905,7.165243187636069,LUPIN.NS,LUPIN,2026-04-06
,,,,19.6134461160164,,,1558910014.8000002,,,,,-3.498501958976727,-0.03819709702063512,3.0568545409795673,6.8163265306122405,2.930186823992129,35.486167286846786,GLENMARK.NS,GLENMARK,2026-04-06
,,,,11.9351167539247,,,112669196400.0,,,,,-2.5093632958801497,-6.802721088435374,-17.049075844486936,-6.015309069901789,-17.296816419902143,4.866650551929747,RELIANCE.NS,RELIANCE,2026-04-06
,,,,11.0471192387103,,,71591569726.58,,,,,-0.14146772767461618,0.8572959457046023,18.58960897139738,14.520381261407426,17.206309672063103,17.371965414033927,ONGC.NS,ONGC,2026-04-06
,,,,21.8963187292014,,,16777031018.400002,,,,,3.055836422873827,1.662418264435332,7.412177985948472,18.975356679636832,14.949874686716788,15.820707070707066,COALINDIA.NS,COALINDIA,2026-04-06
,,,,8.85745445601879,,,25573844520.2,,,,,1.1979166666666725,-2.606516290726811,4.462365591397855,12.965116279069774,7.5858250276855035,27.30965797405321,TATASTEEL.NS,TATASTEEL,2026-04-06
,,,,9.81022729176088,,,19550999480.0,,,,,-1.0353982300884996,-9.865398565326032,-5.700311999325418,-3.4283246977547535,-3.884830253545341,8.330911556718009,JSWSTEEL.NS,JSWSTEEL,2026-04-06
,,,,9.98123813053829,,,27849589800.0,,,,,6.1015981735159865,-2.675392670157063,-0.69978632478632,20.707792207792213,4.656007206395678,44.100775193798455,HINDALCO.NS,HINDALCO,2026-04-06
