date,regime_code,tickers
2024-04-30,4,"INOXWIND.NS, GVT&D.NS, MRPL.NS, WOCKPHARMA.NS, SOBHA.NS, BHEL.NS, SIGNATURE.NS, TRENT.NS, IRFC.NS, EIHOTEL.NS, HAL.NS, IRB.NS, NATIONALUM.NS, TORNTPOWER.NS, NUVAMA.NS"
2024-05-31,3,"FORCEMOT.NS, HINDCOPPER.NS, OIL.NS, BEL.NS, NATIONALUM.NS, THERMAX.NS, ADANIGREEN.NS, NHPC.NS, ATGL.NS, ABB.NS"
2024-06-30,4,"KIRLOSENG.NS, MOTHERSON.NS, GODFRYPHLP.NS, TRENT.NS, POLICYBZR.NS, THERMAX.NS, BLUESTARCO.NS, M&M.NS, CHOICEIN.NS, MRPL.NS, WOCKPHARMA.NS, TORNTPOWER.NS, PHOENIXLTD.NS, HONAUT.NS, ETERNAL.NS"
2024-07-31,4,"FORCEMOT.NS, JYOTICNC.NS, GVT&D.NS, TARIL.NS, HINDZINC.NS, BASF.NS, TECHNOE.NS, DIXON.NS, ARE&M.NS, POWERINDIA.NS, PTCIL.NS, INDUSTOWER.NS, KPIL.NS, 360ONE.NS, SCHNEIDER.NS"
2024-08-31,4,"TARIL.NS, TECHNOE.NS, LTFOODS.NS, GLENMARK.NS, DIXON.NS, INDUSTOWER.NS, NAVA.NS, ARE&M.NS, VEDL.NS, UNOMINDA.NS, PTCIL.NS, EMAMILTD.NS, WHIRLPOOL.NS, MOTHERSON.NS, ABREL.NS"
2024-09-30,4,"PGEL.NS, BASF.NS, ANANTRAJ.NS, DEEPAKFERT.NS, TECHNOE.NS, PCBL.NS, SARDAEN.NS, HSCL.NS, SUZLON.NS, POWERINDIA.NS, VEDL.NS, GVT&D.NS, TRENT.NS, NEULANDLAB.NS, PTCIL.NS"
2024-10-31,3,"KAYNES.NS, POLYMED.NS, INDIACEM.NS, BHARTIHEXA.NS, GLENMARK.NS, KALYANKJIL.NS, BIKAJI.NS, MCX.NS, BALRAMCHIN.NS, CHOICEIN.NS"
2024-11-30,3,"DEEPAKFERT.NS, ZENTEC.NS, SARDAEN.NS, FSL.NS, LTFOODS.NS, KALYANKJIL.NS, BSE.NS, INDIACEM.NS, COFORGE.NS, JMFINANCIL.NS"
2024-12-31,3,"PAYTM.NS, SARDAEN.NS, ANANTRAJ.NS, ZENTEC.NS, KAYNES.NS, COFORGE.NS, FSL.NS, DEEPAKFERT.NS, PCBL.NS, CAPLIPOINT.NS"
2025-01-31,1,
2025-02-28,2,"SARDAEN.NS, BAJFINANCE.NS, NAVINFLUOR.NS, NH.NS, SBICARD.NS, FSL.NS, BAJAJHLDNG.NS, SRF.NS, MUTHOOTFIN.NS, SHREECEM.NS"
2025-03-31,3,"BLUEJET.NS, LAURUSLABS.NS, NAVINFLUOR.NS, SRF.NS, COROMANDEL.NS, CHAMBLFERT.NS, ASTRAZEN.NS, BAJAJHLDNG.NS, RADICO.NS, ASTERDM.NS"
2025-04-30,3,"MANAPPURAM.NS, CHAMBLFERT.NS, BDL.NS, NH.NS, FORCEMOT.NS, COROMANDEL.NS, NAVINFLUOR.NS, SRF.NS, CHOICEIN.NS, UPL.NS"
2025-05-31,4,"BLUEJET.NS, INTELLECT.NS, SOLARINDS.NS, MANAPPURAM.NS, LLOYDSME.NS, BHARTIHEXA.NS, NH.NS, BAJFINANCE.NS, RBLBANK.NS, CHOICEIN.NS, JKCEMENT.NS, SBICARD.NS, SBFC.NS, COROMANDEL.NS, ADANIENSOL.NS"
2025-06-30,4,"SOLARINDS.NS, GODFRYPHLP.NS, NH.NS, BDL.NS, REDINGTON.NS, BLUEJET.NS, BSE.NS, RBLBANK.NS, AIIL.NS, CHOLAHLDNG.NS, LTF.NS, ABCAPITAL.NS, MAHSCOOTER.NS, GLAXO.NS, MANAPPURAM.NS"
2025-07-31,4,"MAHSCOOTER.NS, RBLBANK.NS, GVT&D.NS, AIIL.NS, GLAXO.NS, LAURUSLABS.NS, CRAFTSMAN.NS, ERIS.NS, HDFCAMC.NS, SCHNEIDER.NS, EIDPARRY.NS, COROMANDEL.NS, SYRMA.NS, CHOICEIN.NS, JMFINANCIL.NS"
2025-08-31,3,"AIIL.NS, GVT&D.NS, ABCAPITAL.NS, SYRMA.NS, DELHIVERY.NS, CRAFTSMAN.NS, MAHSCOOTER.NS, CHOICEIN.NS, LTF.NS, POWERINDIA.NS"
2025-09-30,3,"GVT&D.NS, AIIL.NS, DELHIVERY.NS, HBLENGINE.NS, SYRMA.NS, LTF.NS, ETERNAL.NS, RBLBANK.NS, ABCAPITAL.NS, MAHSCOOTER.NS"
2025-10-31,4,"HBLENGINE.NS, GMDCLTD.NS, GVT&D.NS, ECLERX.NS, ANANDRATHI.NS, FORCEMOT.NS, SYRMA.NS, LTF.NS, ABCAPITAL.NS, RBLBANK.NS, HINDCOPPER.NS, SAMMAANCAP.NS, USHAMART.NS, LAURUSLABS.NS, GPIL.NS"
2025-11-30,4,"LTF.NS, LAURUSLABS.NS, MUTHOOTFIN.NS, ABCAPITAL.NS, AGARWALEYE.NS, ANANDRATHI.NS, MCX.NS, SYRMA.NS, NEULANDLAB.NS, PAYTM.NS, RBLBANK.NS, NATIONALUM.NS, HEROMOTOCO.NS, M&MFIN.NS, INDIANB.NS"
2025-12-31,4,"ATHERENERG.NS, NATIONALUM.NS, M&MFIN.NS, LTF.NS, LAURUSLABS.NS, ANANDRATHI.NS, HBLENGINE.NS, MUTHOOTFIN.NS, SHRIRAMFIN.NS, GPIL.NS, ASHOKLEY.NS, JKTYRE.NS, PAYTM.NS, FORCEMOT.NS, HEROMOTOCO.NS"
2026-01-31,3,"SHRIRAMFIN.NS, ASHOKLEY.NS, JKTYRE.NS, INDIANB.NS, CUB.NS, M&MFIN.NS, MUTHOOTFIN.NS, BANKINDIA.NS, LTF.NS, FEDERALBNK.NS"
2026-02-28,3,"NATIONALUM.NS, SHRIRAMFIN.NS, NETWEB.NS, VEDL.NS, BHARATFORG.NS, ASHOKLEY.NS, UNIONBANK.NS, MRPL.NS, BANKINDIA.NS, FEDERALBNK.NS"
